text,rate,funny,useful,cool,label
"This is my family's second time here. The first was at dinner and today's was lunch. Both times the food was delicious and the service was friendly and fast. I recommend:

Fried chicken wings
Pot stickers
Eggplant 
String beans with pork
Hot and sour soup",4,0,0,0,1
"Food tastes very good, but very pricey. 
Prata was excellent. Fried rice was yummy too! 
Again, I live in South Bay, would I drive back to Menlo Park? Probably not. It's just too expensive:) 
Good service and great ambience.",4,0,1,0,1
"What a hidden gem! 

We made our way over here after hearing about it from a colleague. It was difficult to find parking, but we ended up parking in the California parking garage off of Jackson. It was $2 every 30 minutes with a max of $12. 

It was a short little walk from there to the restaurant. We went in and it wasn't very busy, but it was super clean and organized looking. Which can be somewhat hit or miss in Chinatown so I appreciated that. We were told to sit wherever we would like and we were promptly brought menus and water. They brought a big pitcher of water so we could have it throughout the meal. 

We ended up ordering potstickers, sizzling beef short ribs, kung pao chicken, and chicken fried rice with no egg. We also got a pot of jasmine tea to enjoy. 

The food came quick and smelled delicious! We loved every dish. The potstickers definitely needed to be eaten with the sauce that they brought them with, otherwise they were a bit bland. The beef short ribs were super flavorful! I loved all of the veggies it came with. It was kind of like an Asian version of fajitas. The Kung Pao chicken wasn't overly spicy and had a good ratio of chicken to veggies to peanuts. Finally, the fried rice was pretty awesome! You could tell that they made everything fresh, and we really appreciated that it didn't taste overly salty or like MSG. They were very friendly, fast, and made delicious food. I would come back! 

I'd say sadly this place gets overlooked- but it is delicious! Go here if you want somewhere decently priced to share a meal with your family or date, but don't want to wait in a huge line or eat somewhere questionable. Give Begoni a chance!",5,0,1,0,1
"I carried out the baked rigatoni, and it was quite good! Plenty of cheese, I really liked the sausage on the top, but it was a little bit watery and less saucy toward the bottom, so I skipped eating the bottom layer of pasta given it was kind of just pasta down there. I would have liked to see more sauce on this, but regardless, it was served to me right out of the oven and was really good. I'll have to come back to grab some lasagne or a pizza sometime soon!",4,0,0,0,1
"Was heavily recommended on Next Door, so we decided to try. Currently our favorite spot in North Beach. We've been twice now, with our second visit during the Italian American Parade. They were pretty slammed the second time but still did a real solid job. Our first visit was around 4pm so it was quiet. The table next to us was occupied by what seemed like the owners daughters and friends. It was nice to hear Italian being spoken while we dined. Look forward to trying out more of the menu.",5,0,0,1,1
"I love spicy food. I hate Szechuan numbing spice. I love Chinese food! This place met all my criteria which can only lead to great things for my taste buds. 

Food: 
That pork belly cucumber dish is one of the tastiest dishes I've ever had. Actually, all the dishes were very flavor packed. If you are looking for a bland healthy meal....please move along. The pork belly cucumber dish and the fried black sesame ball dish is a must order. 

Service: 
Very friendly staff. Place gets pretty packed, but the staff is able to keep up with the pace. 

Environment: 
Very modern design. Parking is okay here. I suggest getting here when they open to ensure you get a seat. Otherwise you'll be hanging outside for about an hour or so. 

Price: 
About $15 - $20 per person if you order normally. I feel like the price is about right. 

Food: 5
Service: 5
Environment: 5
Price: 4",5,2,2,3,1
"One of my favorite places. Reserving is super simple as I just went through Yelp's reservation (did this on several occasions and worked out perfectly). The place has a nice atmosphere; perfect to take dates or your wifey. I've only had the Bone-in Ribeye at this place but I've been here on multiple occasions and still love this dish to this day. My wife orders the lamb chops which is enough for her to take home for a second meal. Both dishes are great and would definitely recommended checking this place out. (Though it is definitely on the pricer end, it is well worth it, IMO).",5,0,0,0,1
Came here for an early dinner before seeing Hamilton about 30 seconds down the road. We came at 445 and glad we did as there were a lot of reservations and reserved tables already. I was a bit worried as we sat there for about 10 min before anyone came over but once our server did we were rolling. We ordered the fried chicken dinner with clam chowder. The dinner came with mashed potatoes and a corn salad. The chicken was good and crispy my husband liked it more than I did. The mashed potatoes were decent and the corn salad was ok. One of the kids got the bacon mac and cheese which was super cheesy and creamy but so rich between the four of us we didnt finish it. The other kid got the Cobb salad which she said she would pay $40 for. We also did an order of the tator tots with spicy kimchee which was pretty good. My favorite of the night was the clam chowder. It was a bit on the thin side and didnt have huge pieces of clam but it was full of flavor. This place is really the closest thing to theater and is open late so I see the popularity of it. However like all of SF be prepared to pay $15-$30 for most dishes.,4,0,1,0,1
"Head to Hook Fish if you want to experience one of San Francisco's best fish restaurants, located just two blocks from Ocean Beach! They have a daily board of rotating local fish to choose from, in taco, burrito, or sandwich form. We keep going back to try everything - it's seriously addicting! Last time I had their fish sandwich (with Rockfish), I said it was the best fish sandwich I'd ever had. You have to try one out!

Follow our food adventures on Instagram @photogenicfoodies",5,0,2,1,1
"My girlfriends and I stopped in for a snack. We had dinner plans already so we didn't wanna get too full. We just got shrimp, clams, and garlic noodles. When we finished eating, we were craving more! The sauce for the shrimp and clams was really good! My mouth is still salivating just thinking about it again.",5,0,1,1,1
"Great food, great service. I've been twice and can't wait to go again! Ive tried their filet minon, and swordfish, both are best described using the ""f"" word; ""Fabulous""!",5,0,1,0,1
"This little hole in the wall has parking along the street or in the back lot for the strip center. Seating inside and out, but only 9 tables total. They have a restroom, but you must enter through the back of the building. Try slipping through the laundromat next door as a short cut.

Inside is counter service, with the fresh juices behind the counter, a cooler of sodas, and assorted Jamaican bottled drinks like Ting. I went with the mango passion fruit juice. It's mostly mango and you can hardly taste passion fruit, but it's still pretty good!

For my entree, I picked the oxtail and jerk chicken combo, which comes with plantains and rice and beans. This dish really hit the spot. The rice and beans seems to be made with coconut milk and unlike any other rice and beans I've had at other Caribbean places. They gave me 2 pieces of dark meat chicken and 3 thin oxtail pieces. Both meats were excellent, neither were spicy...but the oxtail was slightly better. I was hoping the jerk chicken sauce would be spicy, but it wasn't ....at least not the batch I was given. 

Overall, it really hit the spot and was priced appropriately. I'd come back if I was ever in the area again.",5,1,1,1,1
"Y'all this is my spot! Well it really was a years ago when I liked just about 15 minutes away. I used to come here at least once every 2 weeks with my mom or friends. 

Since I don't live in the area, I don't come here as often but because of nostalgia and a recent visit, I still just love this place and have to give it 5 stars. Definitely my favorite Filipino spot in the South Bay/ever tbh. 

Get the Specialty Combo. It's $10.95 and you get to choose from a variety of meat options like BBQ and lechon. That's a steal!!! It also comes with Java Rice, achara and special sauces. Their Java Rice is... I don't even know. I know I've asked before and it's pretty much just their specialty rice, it's really good. Definitely get it even if it's extra! Achara is their pickled carrots/veggie slaw, soooo good. The specialty combo is more than enough for one person. Can maybe even share it with an appetizer and you'd be full. 

I like my Specialty Combo with: 
- BBQ on a stick (sometimes they run out but not too often) 
- Crispy Chicken
- Lechon Kawali 
- Inihaw ne liempo 

Another one of my favorites here is the Crispy Pata and Chicharon Bulaklak. Although I'm not sure the Bulaklak is still on the menu... which makes sense because I mostly am the only person I know who likes Chicharon Bulaklak haha. (if you don't know what it is, look it up and you'll understand) 

Aside from the amazing food. I like that it's in a random neighborhood. There's always parking in the lot across the street. Except avoid coming here on Saturdays for lunch because of the farmer's market that would be wrapping up on this street. 

The restaurant itself could be cleaner. Not that it's particularly dirty but it just looks like it could use a little freshening up if that makes sense. The service is also great. I believe the owner is the guy with the mustache - he used to always take my orders but I also see him whipping up the food too. Everyone has always been so nice and friendly to me. 

On my most recent visit I felt really bad because I heard of lot of complaints about people not being full from their food and all these other things. Being Filipina myself, I don't think I could ever serve a room full of hungry Filipinos, but the workers here do a great job and always do their best! 

Will be coming here as often as I can until I die or they close! Hopefully neither of these happen so I can keep munchin' on that java rice. Definitely give this place a shot if you're looking to try or already like Filipino cuisine and want some stuff your aunties/uncles would actually cook up for you!",5,0,0,0,1
"Sliced bean curd with mixed vegetables - Surprisingly the most flavorful dish. Bean curd was juicy. The mushroom was thick, chewy, and wet.

Stir fried vegetables - Slightly oil, light on the stomach, and plain. Just how I like it. 

Fried tofu soup with vegetables - Has chicken in it. Broth was warm and comforting.

Interior - Very simple with almost no work done on decor. Nostalgic of the restaurants in Asia.",4,5,4,5,1
"I came here on a recommendation from a Turkish friend, whose parents and grandparents absolutely love the place. I've never had Turkish food before, but now I'm a fan! 

The atmosphere was classy but warm and welcoming. I ordered the Adana Kebab ($16.95), which was kind of like a lamb/beef sausage with pita, rice, bulgur and vegetables on the side. This is a bit pricier than I'm used to, but the portion was large enough and the taste was great, so it was definitely worth it! My friend also ordered a Cigar Borek, which is similar to an eggroll filled with cheese; it was also delicious. The free bread that they gave us to start off the meal, which came with a delicious buttery orange sauce, was excellent as well. 

Overall, the service was polite and friendly and the food was great! Parking was also easy because the place is located in a large shopping center. There's also a bar for anyone interested in that! I'd definitely come back.",5,1,2,0,1
"Came on a Friday night 20 minutes before they opened without a reservation and we (2 people) were 3rd in line and were seated without a reservation! However, they did notify us that we had to be done by 7:15pm. 

Here's what we ordered:

Grilled salmon and salmon roe clay pot: when they brought this to the table, they asked if we wanted it mixed, and we said yes. The way they mixed it was a show and it looked so perfect and delicious. And it was just as delicious as it looked!

Sashimi salad: greens and assorted sashimi. The dressing was very good and the sashimi pretty fresh

Monkfish liver: usually monkfish liver has this really intense fishy taste but it wasn't as strong but felt clean with a good flavor. Loved it!

Fried oysters: came out super hot and fresh. Definitely recommend

Grilled beef tongue: also delicious. It was tender but I'd recommend eating it right away when it's hot 

This was enough food for 2 people and we were full but not overly stuffed. It was pricey though, being $50 per person after tax and tip but the food was so good!",5,1,2,1,1
"This is the sister restaurant of Corso in Berkeley, and I do say I prefer Rivoli over Corso. Located off one of the main streets of Albany so you can find parking fairly easily along the street or park along one of the residential back/side streets.

The restaurant is fairly small so I would recommend making a reservation in advance. When you walk in your immediately greeted with a super small bar and a few bench + high chair/high top tables. As it hits prime time, expect this area to get crowded. Personally, I wouldn't want to be eating in this area bc of the waiting crowd and potential bumps.

Menu changes so be sure to check it online if you're a picky eater. Service staff were wonderful, nice, and check on you regularly. Ordered items came out quickly, but not rushed, allowing you time to finish and enjoy a plate before immediately digging into the next.

We went here for the BFs birthday celebration. Started with the tartare and deviled eggs. Tartare was delisciously served on a crispy toast with fresh tasting, perfectly seasoned meat. The deviled eggs looked beautiful, but the yolk part was a little too salty for my taste (especially paired with the crumbled bacon topper). The artichoke soup comes served warm with little hints of truffle. Our favorite starter was the Gouda souffl����� served with a fog jam. It was perfectly cooked! Ended dinner with duck breast over farro. Duck came out perfectly cooked. The farro is mixed with the jus and some of the duck meat; I could have eaten this just as is.

Overall, this was a nice restaurant. To be honest, I actually prefer this one over their sister restaurant,",4,1,1,1,1
"Always busy restaurant but less waitress. They didn't come to get order for a while. Restaurant name is Japanese but staffs are all Other Asian. I think waitress can smile more but no.... I ordered Tenpura appetizer, nigiri and roll but roll came first. I wanted Tenpura first because it was appetizer! Anyway price was reasonable and come soon. If you live near El Cerrito, you may come. 
We came again because he loves Volcano roll. The restaurant was very busy. We ordered Sapporo black beer, some nigiri, tempura combo and oshinko maki and volcano roll. The price is very reasonable. We got ten stamps so signature roll is free next time! I recommend this place.",4,0,1,0,1
"Best place outside of Italy. In fact- it might even be better! I was on the hunt for authentic pasta after I got back from Italy, and I found it! 

Please try going to this restaurant!",5,0,2,0,1
"FOOD I'm in food love with the masala bowl. Their non chicken sandwiches are good too. They have Auntie Anne's ketchup bottles for use. Prices are reasonable. Food comes out in good time. To go containers available. It's a come in order at the counter. Then they bring you the food to your table. They give you a numbered stand to place at your table. 

INSIDE is bright and clean with booth and chair table seatings. The walls have local fresh produce type photos. 

OVERALL I'd come back here for sure. Parking is shared with the Target outside parking. Next door is the Corner Bakery and T-Mobile on the other side.",5,13,20,20,1
"Yelp & Google helped me find a true gem in SF. Food, ambiance & service were outstanding, delicious rich flavors, learned about butter parantha, like a Naan croissant, and Kashmiri Chai, highly recommended!",5,0,0,0,1
"I was first recommend this place by my high school friend's brother at EDC Las Vegas! 

I was given a card with this place and I had to try it after. 

These Vietnamese sandwiches are not your typical sandwiches... 

I can't really tell what's so special about it (it might be the pate they use) but it's quite unique.",5,0,0,0,1
"It was dinner time and we decided to try a new place in our new neighborhood and found this place on Yelp. I was a bit nervous as some latest reviews did not have a lot of good things to say. The restaurant was small, not a place for a large group and it had a bad ventilation, so be prepared to smell like food when you leave lol.

I inquired about their cuisine and they confirmed the new ownership, the current Tibetan family took over about 6 months ago. Thus, they are introducing some Tibetan food such as Momo (basically steamed dumplings). I was not feeling for dumplings, so I opted to est their Tibetan special (menu listed on the chalkboard on the wall above the register area) called Dropa Khatsa. The waitress told me it was spicy and I told her, I could handle heat and she must have told the chef/cook that I was up for the challenge because WHAM!!! It just hit me every bite, I liked it!!! Made me feels like home! This dish was certainly not for the fainted hearts it was basically beef tripes cooked in spicy curry sauce, served with rice for just $9! Such a deal! It involved a lot of chewing, but hey, just a small price to pay for being adventurous. The next time I order this though, I would have to pair it with a different dish to switch up the flavor and reduce the chewing ahahahah.

Hubby ordered their vietnamese menu, the vermicelli bowl with egg roll and beef. I had a bite and it was good too! I liked that the fish sauce was not too fishy. 

With a glass of thai ice tea, our total bill came out to a bit less than $24 (include tax before tip). Certainly a reasonable meal and the portion was generous. 

Most people ordered takeout, and I certainly hope that this little hole in the wall thrive. I'll be back to try more of their food in the future. What a great little find!",4,2,3,3,1
"Think Vietnamese and Mexican fusion with refreshing, fruity drinks. We stopped by for happy hour on a Friday (HH ends at 6pm) to try out their HH food and drink offerings. FYI their happy hour is only in the bar area. They offer discounted drinks and selected food items are all $7. 

We got 4 items that was totally satisfactory as our dinner for 2 people: 
1. Fish tacos with avocado: loved how crispy the fish was and the avocado was a great touch! 
2. Wings: just ok. Not a lot of meat on the bones, but the sauce was good. 
3. Papaya salad: probably my favorite food item! Was super refreshing, had just the right amount of spice, and I loved the chips it came with for crunch. 
4. Pulled pork with tortilla chips: really great flavor and a generous amount of meat. 

I also got the pear drop, which was refreshing and tasty. Not too sweet, which was a plus. 

We were greeted right away when we walked in and seated at the bar right away, but I did find it quite odd that it took about 10 minutes for either of the 3 guys behind the bar to make eye contact with us (and we were definitely trying to make that connection). 

There's outdoor seating and we were able to find free parking right out front on Solano.",4,19,41,34,1
"Are you Brazilian? Need Brazilian things in your life? 

This is the only place I know where you can get requeij�����o, catupiry, massa de pastel, etc. 

Open until 7:30 Monda",4,0,2,0,1
"In my opinion, it's incredibly hard to find parking, but this place is worth the struggle. 

The people are welcoming and the food is tasty. What's not to like? My go-to is the soondubu, but I've have the bibimbap here, and it was great as well. They season the soondubu to your desired spice level, and sometimes it's hit or miss, but the flavors of the soup are always great. it's perfect for a colder day. 

If you're craving Korean food, this is one of my most favorite Korean restaurants in the East Bay.",5,1,1,1,1
